property_type,district,new_sales,new_listings,sales_to_listings_ratio,inventory,months_supply,benchmark_price,yoy_price_change,mom_price_change
Detached,City Centre,90,118,76.27%,281,3.12,955000,8.14%,-0.03%
Detached,North East,106,180,58.89%,357,3.37,601600,7.76%,-1.17%
Detached,North,113,142,79.58%,279,2.47,679900,4.81%,-0.38%
Detached,North West,127,107,118.69%,163,1.28,778200,7.01%,-0.83%
Detached,West,79,87,90.80%,134,1.7,962600,8.12%,-0.18%
Detached,South,189,204,92.65%,324,1.71,720200,8.46%,-0.68%
Detached,South East,129,161,80.12%,232,1.8,717500,6.15%,-0.75%
Detached,East,28,33,84.85%,55,1.96,532500,13.42%,1.20%
Apartment,City Centre,179,263,68.06%,639,3.57,343900,5.75%,-1.15%
Apartment,North East,26,67,38.81%,164,6.31,306900,11.84%,-0.23%
Apartment,North,35,67,52.24%,150,4.29,339700,10.08%,-1.82%
Apartment,North West,38,30,126.67%,96,2.53,316600,9.47%,-1.68%
Apartment,West,46,59,77.97%,104,2.26,363800,13.69%,-0.87%
Apartment,South,51,102,50.00%,183,3.59,318600,13.46%,-1.33%
Apartment,South East,46,54,85.19%,118,2.57,364700,9.72%,-0.92%
Apartment,East,8,13,61.54%,25,3.13,255900,12.29%,-0.39%
Semi-detached,City Centre,49,68,72.06%,129,2.63,926800,7.32%,-0.40%
Semi-detached,North East,22,34,64.71%,49,2.23,439100,10.44%,-0.36%
Semi-detached,North,16,28,57.14%,38,2.38,514100,3.63%,-0.94%
Semi-detached,North West,15,25,60.00%,32,2.13,648500,7.26%,-0.78%
Semi-detached,West,14,13,107.69%,26,1.86,787900,4.63%,-1.09%
Semi-detached,South,26,26,100.00%,38,1.46,533000,9.69%,-0.65%
Semi-detached,South East,26,28,92.86%,36,1.38,516300,7.56%,-0.10%
Semi-detached,East,5,4,125.00%,8,1.6,409300,13.73%,1.56%
Row,City Centre,39,38,102.63%,76,1.95,620000,5.35%,0.42%
Row,North East,45,76,59.21%,143,3.18,372400,9.11%,-1.14%
Row,North,53,71,74.65%,116,2.19,422300,4.89%,-0.59%
Row,North West,29,26,111.54%,48,1.66,452300,8.05%,-0.15%
Row,West,42,39,107.69%,63,1.5,473700,6.86%,-1.09%
Row,South,63,69,91.30%,86,1.37,408700,10.70%,-0.22%
Row,South East,50,69,72.46%,95,1.9,458200,7.31%,-1.12%
Row,East,7,13,53.85%,22,3.14,309200,16.46%,1.21%
